,N,Euler,Improved Euler,Runge-Kutta
0,2,9.06350832689629,0.3062324190065624,0.526892894175873
1,3,6.173400561363181,0.03637096898982861,0.22042731474865462
2,4,4.644243242968457,0.038489363908865926,0.11015802275334607
3,5,3.9877038465965526,0.06289426069691473,0.06508617156333685
4,6,3.070015575460488,0.06187719024832461,0.037025365214319095
5,7,2.6157890213594115,0.05860950516954233,0.023620548526231744
6,8,2.2752393901288315,0.05347606695228535,0.01575980411526956
7,9,2.0110171519540785,0.04806884430017533,0.010903155787183039
8,10,1.800398825763402,0.04298178836818778,0.007773125193232033
9,11,1.6287950447145931,0.03840811234109509,0.005683990569309572
10,12,1.486426806133764,0.0343778510990802,0.004247717307784171
11,13,1.3665039233900345,0.030857023515117987,0.0032348792232497203
12,14,1.264170334548524,0.027790046127130097,0.0025046945685573974
13,15,1.175865043673781,0.025117803360203084,0.001967972747493718
